,iata,name,country,city_name,latitude,longitude
351,ICN,Incheon International Airport,Republic of Korea,Seoul,37.458764,126.441961
352,IDR,Devi Ahilyabai Holkar,India,Indore,22.72715,75.808227
353,IFN,Esfahan Shahid Beheshti Intl,Iran,Isfahan,32.745686,51.876381
354,IHR,Iranshahr Airport,Iran,Iranshahr,27.236099,60.720001
355,IIL,Ilam Airport,Iran,Ilaam,33.586367,46.399236
356,IKA,Imam Khomeini,Iran,Tehran,35.408632,51.1548
357,IKI,Iki Airport,Japan,Iki,33.745556,129.788333
358,IKU,Issyk-Kul International Airport,Kyrgyzstan,Tamchy,42.588056,76.713056
359,ILO,Iloilo International Airport,Philippines,Iloilo,10.833034,122.493366
360,IMF,Imphal,India,Imphal,24.76457,93.897063
361,INC,Yinchuan Hedong International Airport,China,Yinchuan,38.323031,106.388059
362,IPH,Sultan Azlan Shah,Malaysia,Ipoh,4.566944,101.095833
363,IQM,Qiemo Airport,China,Qiemo,38.144572,85.531552
364,IQN,Qingyang Airport,China,Qingyang,35.8001,107.6044
365,ISB,Islamabad International Airport,Pakistan,Islamabad,33.548333,72.825
366,ISE,Isparta SÃ¼leyman Demirel Airport,Turkiye,Isparta,37.866111,30.382222
367,ISG,Ishigaki,Japan,Ishigaki,24.390349,124.245538
368,ISK,Ozar Airport,India,Ozar,20.119548,73.913354
369,IST,Istanbul Airport,Turkiye,Istanbul,41.260278,28.741944
370,ISU,Sulaymaniyah International Airport,Iraq,Sulaimaniyah,35.572389,45.302424
371,ITM,Osaka,Japan,Osaka,34.790975,135.441719
372,IWJ,Iwami,Japan,Masuda,34.676389,131.790278
373,IWK,Iwakuni Kintaikyo Airport,Japan,Iwakuni,34.135277,132.23555
374,IXA,Agartala,India,Agartala,23.8926,91.244513
375,IXB,Bagdogra,India,Bagdogra,26.68488,88.324816
376,IXC,Chandigarh,India,Chandigarh,30.676809,76.788039
377,IXD,Allahabad,India,Allahabad,25.440072,81.733876
378,IXE,Mangalore,India,Mangalore,12.963543,74.890141
379,IXG,Belgaum,India,Belgaum,15.858611,74.618333
380,IXI,Lilabari Airport,India,Lilabari,27.288274,94.092061
381,IXJ,Jammu,India,Jammu,32.68077,74.842824
382,IXK,Keshod,India,Keshod,21.319444,70.270833
383,IXL,Leh,India,Leh,34.140351,77.547465
384,IXM,Madurai,India,Madurai,9.838571,78.089494
385,IXR,Birsa Munda,India,Ranchi,23.318192,85.322851
386,IXS,Silchar,India,Silchar,24.916017,92.979255
387,IXT,Pasighat Airport,India,Pasighat,28.068259,95.335528
388,IXU,Aurangabad,India,Aurangabad,19.866464,75.397207
389,IXW,Jamshedpur,India,Jamshedpur,22.813056,86.168889
390,IXY,Kandla,India,Kandla,23.111111,70.104167
391,IXZ,Port Blair,India,Port Blair,11.650083,92.732267
