,city_name,continent,country,country_code,display_name,elevation,iata,icao,latitude,longitude,name,routes,timezone
JYR,Jiroft,AS,Iran,IR,"Jiroft (JYR), Iran",2625.0,JYR,OIKJ,28.7269,57.6703,Jiroft Airport,"[{'carriers': [{'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'THR', 'km': 976, 'min': 130}]",Asia/Tehran
JZH,Song Pan,AS,China,CN,"Song Pan (JZH), China",11055.0,JZH,,32.856667,103.683056,Jiuzhai Huanglong Airport,"[{'carriers': [{'iata': '3U', 'name': 'Sichuan Airlines'}, {'iata': 'CA', 'name': 'Air China'}], 'iata': 'TFU', 'km': 290, 'min': 65}, {'carriers': [{'iata': '3U', 'name': 'Sichuan Airlines'}], 'iata': 'HGH', 'km': 1614, 'min': 158}, {'carriers': [{'iata': 'CA', 'name': 'Air China'}], 'iata': 'PEK', 'km': 1404, 'min': 165}, {'carriers': [{'iata': '3U', 'name': 'Sichuan Airlines'}], 'iata': 'CTU', 'km': 253, 'min': 60}]",Asia/Shanghai
KAC,Kameshli,AS,Syrian Arab Republic,SY,"Kameshli (KAC), Syrian Arab Republic",1475.0,KAC,OSKL,37.031741,41.202684,Kameshli,"[{'carriers': [{'iata': 'RB', 'name': 'Syrian Air'}], 'iata': 'DAM', 'km': 586, 'min': 80}, {'carriers': [], 'iata': 'BEY', 'km': 628, 'min': 80}]",Asia/Damascus
KAW,Kawthaung,AS,Myanmar,MM,"Kawthaung (KAW), Myanmar",180.0,KAW,VYKT,10.05,98.516667,Kawthoung Airport,"[{'carriers': [{'iata': 'K7', 'name': 'Air KBZ'}, {'iata': '8M', 'name': 'Myanmar Airways International'}], 'iata': 'TVY', 'km': 449, 'min': 75}, {'carriers': [{'iata': 'UB', 'name': 'Myanmar National Airlines'}], 'iata': 'MGZ', 'km': 265, 'min': 50}]",Asia/Yangon
KAZ,Kau,AS,Indonesia,ID,"Kau (KAZ), Indonesia",0.0,KAZ,WAEK,1.166667,127.866667,Kau Airport,"[{'carriers': [{'iata': 'IW', 'name': 'Wings Air'}], 'iata': 'MDC', 'km': 330, 'min': 65}]",Asia/Jayapura
KBL,Kabul,AS,Afghanistan,AF,"Kabul (KBL), Afghanistan",5871.0,KBL,OAKB,34.560692,69.211521,Kabul International,"[{'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}, {'iata': 'FZ', 'name': 'flydubai'}, {'iata': 'RQ', 'name': 'Kam Air'}], 'iata': 'DXB', 'km': 1685, 'min': 210}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}, {'iata': 'RQ', 'name': 'Kam Air'}], 'iata': 'HEA', 'km': 643, 'min': 90}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}, {'iata': 'RQ', 'name': 'Kam Air'}], 'iata': 'MZR', 'km': 299, 'min': 60}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}, {'iata': 'RQ', 'name': 'Kam Air'}], 'iata': 'KDH', 'km': 461, 'min': 75}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}, {'iata': 'RQ', 'name': 'Kam Air'}, {'iata': 'TK', 'name': 'Turkish Airlines'}], 'iata': 'IST', 'km': 3601, 'min': 330}, {'carriers': [{'iata': 'RQ', 'name': 'Kam Air'}, {'iata': 'FG', 'name': 'Ariana Afghan Airlines'}], 'iata': 'ISB', 'km': 351, 'min': 60}, {'carriers': [{'iata': 'RQ', 'name': 'Kam Air'}], 'iata': 'AUH', 'km': 1801, 'min': 210}, {'carriers': [{'iata': 'G9', 'name': 'Air Arabia'}], 'iata': 'SHJ', 'km': 1669, 'min': 205}, {'carriers': [{'iata': 'RQ', 'name': 'Kam Air'}, {'iata': 'FG', 'name': 'Ariana Afghan Airlines'}], 'iata': 'KHT', 'km': 152, 'min': 45}, {'carriers': [{'iata': 'RQ', 'name': 'Kam Air'}, {'iata': 'FG', 'name': 'Ariana Afghan Airlines'}], 'iata': 'JED', 'km': 3263, 'min': 350}, {'carriers': [{'iata': 'RQ', 'name': 'Kam Air'}, {'iata': 'FG', 'name': 'Ariana Afghan Airlines'}], 'iata': 'RUH', 'km': 2415, 'min': 240}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}, {'iata': 'RQ', 'name': 'Kam Air'}], 'iata': 'DEL', 'km': 1001, 'min': 120}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}, {'iata': 'RQ', 'name': 'Kam Air'}], 'iata': 'IKA', 'km': 1649, 'min': 210}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}], 'iata': 'MHD', 'km': 888, 'min': 90}, {'carriers': [{'iata': 'RQ', 'name': 'Kam Air'}], 'iata': 'KWI', 'km': 2089, 'min': 210}, {'carriers': [{'iata': 'RQ', 'name': 'Kam Air'}], 'iata': 'TAS', 'km': 743, 'min': 90}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}], 'iata': 'ESB', 'km': 3245, 'min': 315}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}], 'iata': 'URC', 'km': 1880, 'min': 180}]",Asia/Kabul
KBR,Kota Bharu,AS,Malaysia,MY,"Kota Bharu (KBR), Malaysia",16.0,KBR,WMKC,6.17057,102.290915,Sultan Ismail Petra,"[{'carriers': [{'iata': 'AK', 'name': 'AirAsia'}, {'iata': 'MH', 'name': 'Malaysia Airlines'}, {'iata': 'OD', 'name': 'Batik Air Malaysia'}], 'iata': 'KUL', 'km': 384, 'min': 70}, {'carriers': [{'iata': 'FY', 'name': 'Firefly'}, {'iata': 'OD', 'name': 'Batik Air Malaysia'}], 'iata': 'SZB', 'km': 345, 'min': 70}, {'carriers': [{'iata': 'FY', 'name': 'Firefly'}], 'iata': 'PEN', 'km': 244, 'min': 60}, {'carriers': [{'iata': 'AK', 'name': 'AirAsia'}], 'iata': 'JHB', 'km': 524, 'min': 75}, {'carriers': [{'iata': 'AK', 'name': 'AirAsia'}], 'iata': 'BKI', 'km': 1523, 'min': 160}, {'carriers': [{'iata': 'AK', 'name': 'AirAsia'}], 'iata': 'KCH', 'km': 1033, 'min': 110}]",Asia/Kuala_Lumpur
KBU,Kotabaru,AS,Indonesia,ID,"Kotabaru (KBU), Indonesia",11.0,KBU,WAOK,-3.295796,116.165701,Gusti Syamsir Alam Airport,"[{'carriers': [{'iata': 'IW', 'name': 'Wings Air'}], 'iata': 'BDJ', 'km': 157, 'min': 45}]",Asia/Makassar
KBV,Krabi,AS,Thailand,TH,"Krabi (KBV), Thailand",83.0,KBV,VTSG,8.097281,98.980619,Krabi,"[{'carriers': [{'iata': 'DD', 'name': 'Nok Air'}, {'iata': 'FD', 'name': 'Thai AirAsia'}, {'iata': 'SL', 'name': 'Thai Lion Air'}], 'iata': 'DMK', 'km': 667, 'min': 85}, {'carriers': [{'iata': 'PG', 'name': 'Bangkok Airways'}, {'iata': 'TG', 'name': 'Thai Airways International'}, {'iata': 'VZ', 'name': 'Thai Vietjet Air'}, {'iata': 'FD', 'name': 'Thai AirAsia'}], 'iata': 'BKK', 'km': 648, 'min': 85}, {'carriers': [{'iata': 'AK', 'name': 'AirAsia'}, {'iata': 'OD', 'name': 'Batik Air Malaysia'}], 'iata': 'KUL', 'km': 665, 'min': 95}, {'carriers': [{'iata': 'TR', 'name': 'Scoot'}, {'iata': '3K', 'name': 'Jetstar Asia'}], 'iata': 'SIN', 'km': 929, 'min': 115}, {'carriers': [{'iata': 'PG', 'name': 'Bangkok Airways'}], 'iata': 'USM', 'km': 200, 'min': 50}, {'carriers': [{'iata': 'FD', 'name': 'Thai AirAsia'}], 'iata': 'CNX', 'km': 1180, 'min': 115}, {'carriers': [{'iata': 'FZ', 'name': 'flydubai'}], 'iata': 'DXB', 'km': 4995, 'min': 430}]",Asia/Bangkok
KCA,Kuqa,AS,China,CN,"Kuqa (KCA), China",3522.0,KCA,ZWKC,41.71806,82.98694,Kuqa Airport,"[{'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}, {'iata': 'GS', 'name': 'Tianjin Airlines'}, {'iata': 'HU', 'name': 'Hainan Airlines'}], 'iata': 'URC', 'km': 439, 'min': 65}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}, {'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'YIN', 'km': 282, 'min': 45}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'AKU', 'km': 230, 'min': 40}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'KHG', 'km': 637, 'min': 75}, {'carriers': [{'iata': 'CA', 'name': 'Air China'}, {'iata': '3U', 'name': 'Sichuan Airlines'}], 'iata': 'TFU', 'km': 2300, 'min': 230}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'HTN', 'km': 584, 'min': 75}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'AAT', 'km': 782, 'min': 95}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'SHF', 'km': 367, 'min': 65}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'TLQ', 'km': 521, 'min': 78}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'KRL', 'km': 263, 'min': 40}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'XIY', 'km': 2390, 'min': 220}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'IQM', 'km': 452, 'min': 80}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'TWC', 'km': 376, 'min': 60}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'KRY', 'km': 459, 'min': 65}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'BPL', 'km': 357, 'min': 60}, {'carriers': [{'iata': 'KN', 'name': 'China United Airlines'}], 'iata': 'DSN', 'km': 2278, 'min': 205}, {'carriers': [{'iata': 'QW', 'name': 'Qingdao Airlines'}], 'iata': 'CGO', 'km': 2803, 'min': 260}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'NLT', 'km': 193, 'min': 65}]",Asia/Shanghai
KCH,Kuching,AS,Malaysia,MY,"Kuching (KCH), Malaysia",89.0,KCH,WBGG,1.484167,110.340833,Kuching International,"[{'carriers': [{'iata': 'AK', 'name': 'AirAsia'}, {'iata': 'MH', 'name': 'Malaysia Airlines'}, {'iata': 'OD', 'name': 'Batik Air Malaysia'}], 'iata': 'KUL', 'km': 969, 'min': 110}, {'carriers': [{'iata': 'AK', 'name': 'AirAsia'}, {'iata': 'FY', 'name': 'Firefly'}], 'iata': 'MYY', 'km': 512, 'min': 65}, {'carriers': [{'iata': 'AK', 'name': 'AirAsia'}], 'iata': 'SBW', 'km': 201, 'min': 40}, {'carriers': [{'iata': 'AK', 'name': 'AirAsia'}, {'iata': 'FY', 'name': 'Firefly'}], 'iata': 'BKI', 'km': 801, 'min': 90}, {'carriers': [{'iata': 'AK', 'name': 'AirAsia'}], 'iata': 'BTU', 'km': 349, 'min': 55}, {'carriers': [{'iata': 'AK', 'name': 'AirAsia'}], 'iata': 'JHB', 'km': 742, 'min': 80}, {'carriers': [{'iata': 'MH', 'name': 'Malaysia Airlines'}], 'iata': 'MKM', 'km': 249, 'min': 55}, {'carriers': [{'iata': 'AK', 'name': 'AirAsia'}, {'iata': 'TR', 'name': 'Scoot'}], 'iata': 'SIN', 'km': 706, 'min': 90}, {'carriers': [{'iata': 'AK', 'name': 'AirAsia'}], 'iata': 'SZB', 'km': 993, 'min': 108}, {'carriers': [{'iata': 'AK', 'name': 'AirAsia'}, {'iata': 'FY', 'name': 'Firefly'}], 'iata': 'PEN', 'km': 1196, 'min': 125}, {'carriers': [{'iata': 'MH', 'name': 'Malaysia Airlines'}], 'iata': 'MZV', 'km': 570, 'min': 100}, {'carriers': [{'iata': 'MH', 'name': 'Malaysia Airlines'}], 'iata': 'TGC', 'km': 122, 'min': 40}, {'carriers': [{'iata': 'MH', 'name': 'Malaysia Airlines'}], 'iata': 'LMN', 'km': 626, 'min': 105}, {'carriers': [{'iata': 'QZ', 'name': 'Indonesia AirAsia'}], 'iata': 'CGK', 'km': 936, 'min': 108}, {'carriers': [{'iata': 'BI', 'name': 'Royal Brunei Airlines'}], 'iata': 'BWN', 'km': 637, 'min': 80}, {'carriers': [{'iata': 'AK', 'name': 'AirAsia'}], 'iata': 'KBR', 'km': 1033, 'min': 110}]",Asia/Kuala_Lumpur
KCM,Kahramanmaras,AS,Turkiye,TR,"Kahramanmaras (KCM), Turkiye",1723.0,KCM,LTCN,37.534444,36.950556,Kahramanmaras,"[{'carriers': [{'iata': 'TK', 'name': 'Turkish Airlines'}], 'iata': 'IST', 'km': 818, 'min': 115}, {'carriers': [{'iata': 'VF', 'name': 'FlyViking'}], 'iata': 'ESB', 'km': 447, 'min': 65}]",Europe/Istanbul
KCZ,Kochi,AS,Japan,JP,"Kochi (KCZ), Japan",23.0,KCZ,RJOK,33.547689,133.674852,Kochi,"[{'carriers': [{'iata': 'JL', 'name': 'JAL'}, {'iata': 'NH', 'name': 'ANA'}], 'iata': 'HND', 'km': 602, 'min': 75}, {'carriers': [{'iata': 'NH', 'name': 'ANA'}], 'iata': 'ITM', 'km': 213, 'min': 45}, {'carriers': [{'iata': 'JH', 'name': 'Fuji Dream Airlines'}], 'iata': 'NGO', 'km': 323, 'min': 58}, {'carriers': [{'iata': 'JL', 'name': 'JAL'}], 'iata': 'FUK', 'km': 300, 'min': 60}, {'carriers': [{'iata': 'JH', 'name': 'Fuji Dream Airlines'}], 'iata': 'NKM', 'km': 353, 'min': 60}, {'carriers': [{'iata': 'GK', 'name': 'Jetstar Japan'}], 'iata': 'NRT', 'km': 662, 'min': 88}, {'carriers': [{'iata': 'IT', 'name': 'Tigerair Taiwan'}], 'iata': 'TPE', 'km': 1528, 'min': 160}]",Asia/Tokyo
KDH,Kandahar,AS,Afghanistan,AF,"Kandahar (KDH), Afghanistan",3312.0,KDH,OAKN,31.506944,65.8475,Kandahar,"[{'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}, {'iata': 'RQ', 'name': 'Kam Air'}], 'iata': 'KBL', 'km': 461, 'min': 75}, {'carriers': [{'iata': 'RQ', 'name': 'Kam Air'}], 'iata': 'DXB', 'km': 1237, 'min': 140}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}, {'iata': 'RQ', 'name': 'Kam Air'}], 'iata': 'JED', 'km': 2864, 'min': 285}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}], 'iata': 'MHD', 'km': 777, 'min': 90}, {'carriers': [{'iata': 'FG', 'name': 'Ariana Afghan Airlines'}], 'iata': 'IKA', 'km': 1431, 'min': 180}]",Asia/Kabul
KDI,Kendari,AS,Indonesia,ID,"Kendari (KDI), Indonesia",164.0,KDI,WAWW,-4.081461,122.418851,Wolter Monginsidi,"[{'carriers': [{'iata': 'GA', 'name': 'Garuda Indonesia'}, {'iata': 'ID', 'name': 'Batik Air'}, {'iata': 'JT', 'name': 'Lion Air'}, {'iata': 'QG', 'name': 'Citilink'}], 'iata': 'UPG', 'km': 337, 'min': 55}, {'carriers': [{'iata': 'IP', 'name': 'Apsara International'}, {'iata': 'QG', 'name': 'Citilink'}], 'iata': 'CGK', 'km': 1762, 'min': 165}, {'carriers': [{'iata': 'JT', 'name': 'Lion Air'}], 'iata': 'SUB', 'km': 1126, 'min': 110}]",Asia/Makassar
KDU,Skardu,AS,Pakistan,PK,"Skardu (KDU), Pakistan",7303.0,KDU,OPSD,35.333008,75.538618,Skardu Airport,"[{'carriers': [{'iata': 'PK', 'name': 'Pakistan International Airlines'}, {'iata': 'PA', 'name': 'Airblue'}], 'iata': 'ISB', 'km': 318, 'min': 60}, {'carriers': [{'iata': 'PK', 'name': 'Pakistan International Airlines'}], 'iata': 'KHI', 'km': 1408, 'min': 135}, {'carriers': [{'iata': 'PK', 'name': 'Pakistan International Airlines'}], 'iata': 'LHE', 'km': 435, 'min': 75}, {'carriers': [{'iata': 'PK', 'name': 'Pakistan International Airlines'}], 'iata': 'DXB', 'km': 2232, 'min': 225}]",Asia/Karachi
KEA,Kerki,AS,Turkmenistan,TM,"Kerki (KEA), Turkmenistan",799.0,KEA,UTAE,37.822201,65.135306,Kerki International Airport,"[{'carriers': [{'iata': 'T5', 'name': 'Turkmenistan Airlines'}], 'iata': 'ASB', 'km': 595, 'min': 60}]",Asia/Ashgabat
KEI,Kepi,AS,Indonesia,ID,"Kepi (KEI), Indonesia",0.0,KEI,WAKP,-6.566667,139.333333,Kepi Airport,"[{'carriers': [{'iata': 'IL', 'name': 'Trigana Air'}], 'iata': 'MKQ', 'km': 247, 'min': 43}]",Asia/Jayapura
KEP,Nepalganj,AS,Nepal,NP,"Nepalganj (KEP), Nepal",540.0,KEP,VNNG,28.1036,81.667,Nepalganj Airport,"[{'carriers': [{'iata': 'U4', 'name': 'Buddha Air'}, {'iata': 'YT', 'name': 'Yeti Airlines'}, {'iata': 'N9', 'name': 'Shree Airlines'}], 'iata': 'KTM', 'km': 365, 'min': 50}, {'carriers': [{'iata': 'U4', 'name': 'Buddha Air'}], 'iata': 'PKR', 'km': 227, 'min': 38}]",Asia/Kathmandu
KER,Kerman,AS,Iran,IR,"Kerman (KER), Iran",5736.0,KER,OIKK,30.258778,56.961921,Kerman,"[{'carriers': [{'iata': 'IR', 'name': 'Iran Air'}, {'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'THR', 'km': 800, 'min': 98}, {'carriers': [{'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'MHD', 'km': 708, 'min': 90}, {'carriers': [{'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'KIH', 'km': 506, 'min': 80}, {'carriers': [{'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'IFN', 'km': 556, 'min': 70}, {'carriers': [{'iata': 'FZ', 'name': 'flydubai'}], 'iata': 'DXB', 'km': 576, 'min': 95}, {'carriers': [{'iata': 'QB', 'name': 'Qeshm Air'}], 'iata': 'NJF', 'km': 1212, 'min': 75}, {'carriers': [{'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'SYZ', 'km': 429, 'min': 70}]",Asia/Tehran
KET,Keng Tung,AS,Myanmar,MM,"Keng Tung (KET), Myanmar",2799.0,KET,VYKG,21.3,99.616667,Kengtung,"[{'carriers': [{'iata': 'UB', 'name': 'Myanmar National Airlines'}, {'iata': 'K7', 'name': 'Air KBZ'}, {'iata': '8M', 'name': 'Myanmar Airways International'}], 'iata': 'RGN', 'km': 609, 'min': 100}, {'carriers': [{'iata': 'K7', 'name': 'Air KBZ'}, {'iata': '8M', 'name': 'Myanmar Airways International'}], 'iata': 'MDL', 'km': 379, 'min': 70}, {'carriers': [{'iata': 'UB', 'name': 'Myanmar National Airlines'}, {'iata': '8M', 'name': 'Myanmar Airways International'}, {'iata': 'K7', 'name': 'Air KBZ'}], 'iata': 'HEH', 'km': 299, 'min': 60}]",Asia/Yangon
KGF,Karaganda,AS,Kazakhstan,KZ,"Karaganda (KGF), Kazakhstan",1765.0,KGF,UAKK,49.675257,73.328364,Sary-Arka,"[{'carriers': [{'iata': 'KC', 'name': 'Air Astana'}], 'iata': 'ALA', 'km': 758, 'min': 90}]",Asia/Almaty
KGT,Kangding,AS,China,CN,"Kangding (KGT), China",13916.0,KGT,ZUKD,30.13176,101.747534,Kangding Airport,"[{'carriers': [{'iata': '3U', 'name': 'Sichuan Airlines'}], 'iata': 'CTU', 'km': 218, 'min': 50}]",Asia/Shanghai
KHD,Khorramabad,AS,Iran,IR,"Khorramabad (KHD), Iran",3790.0,KHD,OICK,33.438611,48.280833,Khorramabad Airport,"[{'carriers': [{'iata': 'W5', 'name': 'Mahan Air'}], 'iata': 'THR', 'km': 374, 'min': 70}]",Asia/Tehran
KHG,Kashi,AS,China,CN,"Kashi (KHG), China",4493.0,KHG,ZWSH,39.53689,76.010387,Kashi,"[{'carriers': [{'iata': '8L', 'name': 'Lucky Air'}, {'iata': 'CA', 'name': 'Air China'}, {'iata': 'CZ', 'name': 'China Southern Airlines'}, {'iata': 'GS', 'name': 'Tianjin Airlines'}, {'iata': 'HU', 'name': 'Hainan Airlines'}, {'iata': 'MU', 'name': 'China Eastern Airlines'}, {'iata': 'SC', 'name': 'Shandong Airlines'}, {'iata': 'UQ', 'name': 'Urumqi Airlines'}, {'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'URC', 'km': 1068, 'min': 115}, {'carriers': [{'iata': 'CA', 'name': 'Air China'}, {'iata': '3U', 'name': 'Sichuan Airlines'}, {'iata': 'UQ', 'name': 'Urumqi Airlines'}, {'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'TFU', 'km': 2777, 'min': 255}, {'carriers': [{'iata': '9C', 'name': 'Spring Airlines'}, {'iata': 'CZ', 'name': 'China Southern Airlines'}, {'iata': 'QW', 'name': 'Qingdao Airlines'}, {'iata': 'FU', 'name': 'Fuzhou Airlines'}], 'iata': 'LHW', 'km': 2437, 'min': 205}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}, {'iata': 'GJ', 'name': 'Loong Air'}, {'iata': 'GS', 'name': 'Tianjin Airlines'}, {'iata': '9H', 'name': 'Air Changan'}], 'iata': 'XIY', 'km': 2953, 'min': 250}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}, {'iata': 'EU', 'name': 'Chengdu Airlines'}, {'iata': 'G5', 'name': 'Gestair'}, {'iata': 'OQ', 'name': 'Chongqing Airlines'}], 'iata': 'YIN', 'km': 660, 'min': 110}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'QSZ', 'km': 169, 'min': 45}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'KCA', 'km': 637, 'min': 75}, {'carriers': [{'iata': 'CA', 'name': 'Air China'}, {'iata': 'HU', 'name': 'Hainan Airlines'}], 'iata': 'PEK', 'km': 3444, 'min': 300}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'PKX', 'km': 3443, 'min': 305}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}, {'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'PVG', 'km': 4219, 'min': 335}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}], 'iata': 'INC', 'km': 2625, 'min': 230}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'CAN', 'km': 3932, 'min': 360}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'AKU', 'km': 410, 'min': 70}, {'carriers': [{'iata': '3U', 'name': 'Sichuan Airlines'}], 'iata': 'CTU', 'km': 2722, 'min': 245}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'KRL', 'km': 887, 'min': 105}, {'carriers': [{'iata': '8L', 'name': 'Lucky Air'}, {'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'NGQ', 'km': 901, 'min': 95}, {'carriers': [{'iata': 'EU', 'name': 'Chengdu Airlines'}], 'iata': 'TLQ', 'km': 1159, 'min': 120}, {'carriers': [{'iata': 'PN', 'name': 'West Air (China)'}], 'iata': 'XNN', 'km': 2301, 'min': 210}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'ACF', 'km': 459, 'min': 65}, {'carriers': [{'iata': 'GJ', 'name': 'Loong Air'}], 'iata': 'CGO', 'km': 3386, 'min': 290}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'TWC', 'km': 279, 'min': 53}, {'carriers': [{'iata': 'G5', 'name': 'Gestair'}], 'iata': 'YTW', 'km': 589, 'min': 68}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'HTN', 'km': 436, 'min': 70}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'WUH', 'km': 3584, 'min': 285}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'SZX', 'km': 4023, 'min': 365}, {'carriers': [{'iata': 'SC', 'name': 'Shandong Airlines'}], 'iata': 'TNA', 'km': 3589, 'min': 290}, {'carriers': [{'iata': 'OQ', 'name': 'Chongqing Airlines'}], 'iata': 'CKG', 'km': 2994, 'min': 273}, {'carriers': [{'iata': 'MU', 'name': 'China Eastern Airlines'}], 'iata': 'NKG', 'km': 3938, 'min': 330}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'ISB', 'km': 723, 'min': 110}, {'carriers': [{'iata': 'CZ', 'name': 'China Southern Airlines'}], 'iata': 'HKG', 'km': 4055, 'min': 370}]",Asia/Shanghai
