,Num_Routes,iata,name,country,city_name,latitude,longitude
127,160,PEK,Beijing Capital International Airport,China,Beijing,40.078538,116.587095
128,26,PEN,Penang International,Malaysia,Penang,5.292961,100.265173
129,153,PKX,Daxing International Airport,China,Beijing,39.508611,116.410833
130,32,PNH,Phnom Penh,Cambodia,Phnom Penh,11.552193,104.846174
131,35,PNQ,Pune,India,Pune,18.581389,73.920556
132,40,PUS,Gimhae International,Republic of Korea,Busan,35.179319,128.948728
133,189,PVG,Shanghai Pudong International Airport,China,Shanghai,31.143333,121.805278
134,35,RGN,Yangon International,Myanmar,Yangon,16.900069,96.134152
135,73,RUH,King Khaled International,Saudi Arabia,Riyadh,24.959289,46.702876
136,64,SAW,Istanbul Sabiha Gökçen International Airport,Turkiye,Istanbul,40.904676,29.309188
137,74,SGN,Tansonnhat International,Viet Nam,Ho Chi Minh City,10.813045,106.662477
138,61,SHA,Hongqiao International,China,Shanghai,31.19779,121.333473
139,88,SHE,Shenyang Taoxian International Airport,China,Shenyang,41.634992,123.485731
140,81,SHJ,Sharjah International,United Arab Emirates,Sharjah,25.320873,55.52029
141,23,SHS,Shashi Airport,China,Shashi,30.321995,112.2781
142,111,SIN,Singapore Changi Airport,Singapore,Singapore,1.361173,103.990201
143,67,SJW,Shijiazhuang Daguocun International Airport,China,Shijiazhuang,38.281868,114.692106
144,32,SUB,Juanda,Indonesia,Surabaya,-7.377937,112.793782
145,61,SWA,Wai Sha Airport,China,Jieyang,23.54944,116.510277
146,74,SYX,Phoenix International,China,Sanya,18.305276,109.40888
147,143,SZX,Shenzhen Bao'an International Airport,China,Shenzhen,22.639444,113.810833
148,91,TAO,Qingdao Jiaodong International Airport,China,Qingdao,36.361944,120.088333
149,44,TAS,Islam Karimov Tashkent International Airport,Uzbekistan,Tashkent,41.257893,69.281204
150,28,TBS,Lochini,Georgia,Tbilisi,41.674063,44.958958
151,180,TFU,Tianfu International Airport,China,Chengdu,30.314195,104.44186
152,42,THR,Mehrabad International,Iran,Tehran,35.691534,51.321868
153,75,TNA,Jinan Yaoqiang International Airport,China,Jinan,36.857689,117.206881
154,70,TPE,Taoyuan International Airport,Taiwan,Taipei,25.075512,121.23248
155,21,TRV,Thiruvananthapuram International,India,Thiruvananthapuram,8.476126,76.91907
156,88,TSN,Tianjin Binhai International Airport,China,Tianjin,39.128273,117.355906
157,71,TYN,Taiyuan Wusu International Airport,China,Taiyuan,37.754996,112.62585
158,21,TZX,Trabzon,Turkiye,Trabzon,40.994191,39.781681
159,26,UBN,Chinggis Khan International Airport,Mongolia,Ulaanbaatar,47.646944,106.819722
160,31,UPG,Ujung Pandang,Indonesia,Ujung Pandang,-5.077019,119.547738
161,86,URC,Ürümqi Diwopu International Airport,China,Urumqi,43.90126,87.475148
162,32,UYN,Yulin,China,Yulin,38.361466,109.596181
163,37,VTE,Wattay International,Lao People's Democratic Republic,Vientiane,17.975432,102.567721
164,27,WEH,Weihai Airport,China,Weihai,37.188142,122.236067
165,35,WMT,Maotai Airport,China,Zunyi,27.96222,106.435
166,71,WNZ,Wenzhou Yongqiang Airport,China,Wenzhou,27.91566,120.847381
167,110,WUH,Wuhan Tianhe International Airport,China,Wuhan,30.776789,114.217577
168,47,WUX,Wuxi Airport,China,Wuxi,31.492889,120.424374
169,25,XFN,Xiangfan Airport,China,Xiangyang,32.150067,112.290691
170,160,XIY,Xi'an Xianyang International Airport,China,Xian,34.438416,108.760946
171,98,XMN,Xiamen Gaoqi International Airport,China,Xiamen,24.543064,118.134178
172,58,XNN,Xining Caojiabu Airport,China,Xining,36.527506,102.043002
173,30,XUZ,Xuzhou Guanyin Airport,China,Xuzhou,34.055033,117.554758
174,33,YBP,Yibin,China,Yibin,28.801665,104.551835
175,34,YCU,Zhangxiao,China,Yuncheng,35.114987,111.037051
176,42,YIH,Yichang Airport,China,Yichang,30.549934,111.478938
177,23,YIN,Yining Airport,China,Yining,43.951998,81.331444
178,23,YIW,Yiwu Airport,China,Yiwu,29.344562,120.028808
179,50,YNT,Penglai International Airport,China,Yantai,37.657222,120.987222
180,25,YNZ,Yancheng Airport,China,Yancheng,33.431217,120.204406
181,32,YTY,Yangzhou Taizhou Airport,China,Yangzhou,32.563057,119.720278
182,27,ZHA,Zhanjiang Airport,China,Zhanjiang,21.214727,110.362715
183,61,ZUH,Zhuhai Airport,China,Zhuhai,22.011788,113.370601
