Origin,Origin Country,Destination,Destination Country,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude
AMD,India,HAN,Viet Nam,23.066389,72.624167,21.214184,105.802827
AMD,India,NDC,India,23.066389,72.624167,19.183333,77.316667
AMD,India,RPR,India,23.066389,72.624167,21.184561,81.739751
AMD,India,IXG,India,23.066389,72.624167,15.858611,74.618333
AMD,India,NJF,Iraq,23.066389,72.624167,31.989792,44.404576
AMD,India,GWL,India,23.066389,72.624167,26.293889,78.23
AMM,Jordan,RUH,Saudi Arabia,31.722535,35.989318,24.959289,46.702876
AMM,Jordan,JED,Saudi Arabia,31.722535,35.989318,21.670232,39.150579
AMM,Jordan,IST,Turkiye,31.722535,35.989318,41.260278,28.741944
AMM,Jordan,DXB,United Arab Emirates,31.722535,35.989318,25.256557,55.366071
AMM,Jordan,BEY,Lebanon,31.722535,35.989318,33.826073,35.493082
AMM,Jordan,DOH,Qatar,31.722535,35.989318,25.260988,51.613594
AMM,Jordan,BGW,Iraq,31.722535,35.989318,33.255879,44.232069
AMM,Jordan,AUH,United Arab Emirates,31.722535,35.989318,24.426912,54.645974
AMM,Jordan,KWI,Kuwait,31.722535,35.989318,29.240116,47.971251
AMM,Jordan,AQJ,Jordan,31.722535,35.989318,29.610074,35.021511
AMM,Jordan,SHJ,United Arab Emirates,31.722535,35.989318,25.320873,55.52029
AMM,Jordan,EBL,Iraq,31.722535,35.989318,36.2375,43.963056
AMM,Jordan,BAH,Bahrain,31.722535,35.989318,26.269181,50.62605
AMM,Jordan,MED,Saudi Arabia,31.722535,35.989318,24.544369,39.698966
AMM,Jordan,SAH,Republic of Yemen,31.722535,35.989318,15.476298,44.219702
AMM,Jordan,DMM,Saudi Arabia,31.722535,35.989318,26.471111,49.797778
AMM,Jordan,ESB,Turkiye,31.722535,35.989318,40.114941,32.993145
AMM,Jordan,SAW,Turkiye,31.722535,35.989318,40.904676,29.309188
AMM,Jordan,AYT,Turkiye,31.722535,35.989318,36.899282,30.801349
AMM,Jordan,MCT,Oman,31.722535,35.989318,23.600739,58.284042
AMM,Jordan,LCA,Cyprus,31.722535,35.989318,34.870871,33.607975
AMM,Jordan,BSR,Iraq,31.722535,35.989318,30.552695,47.666865
AMM,Jordan,ISU,Iraq,31.722535,35.989318,35.572389,45.302424
AMM,Jordan,TZX,Turkiye,31.722535,35.989318,40.994191,39.781681
AMM,Jordan,ADE,Republic of Yemen,31.722535,35.989318,12.826116,45.037535
AMM,Jordan,ULH,Saudi Arabia,31.722535,35.989318,26.480861,38.116654
